date,first_name,life_force
2024-04-24,Prince Humperdink,11.65
2024-10-07,Fezzik,15.95
2024-11-24,Vizzini,63.76
2024-08-18,Vizzini,33.83
2025-08-07,Prince Humperdink,93.43
2025-11-11,Miracle Max,92.55
2024-10-30,Buttercup,99.31
2025-07-02,Vizzini,17.3
2024-08-29,Count Rugen,57.85
2025-01-09,Fezzik,35.93
2025-02-09,Valerie,78.8
2025-08-02,Valerie,45.78
2024-01-05,Buttercup,3.29
2024-05-16,Miracle Max,40.7
2024-02-05,Inigo Montoya,51.35
2024-09-27,Miracle Max,21.77
2025-01-31,Inigo Montoya,27.49
2025-05-04,Buttercup,12.75
2024-12-06,Fezzik,33.7
2024-03-11,Fezzik,10.94
2024-07-23,Vizzini,63.3
2025-07-11,Count Rugen,65.97
2025-12-03,Count Rugen,95.84
2024-04-18,Prince Humperdink,85.88
2024-02-25,Prince Humperdink,14.44
2024-03-15,Inigo Montoya,47.28
2024-04-01,Buttercup,82.23
2025-05-25,Buttercup,20.3
2025-09-09,Valerie,75.97
2024-06-28,Fezzik,17.88
2025-04-08,Valerie,21.51
2024-06-23,Prince Humperdink,21.71
2025-02-01,Inigo Montoya,67.72
2025-05-31,Vizzini,38.02
2024-04-24,Valerie,20.28
2024-02-23,Miracle Max,6.82
2025-11-05,Vizzini,65.69
2025-11-22,Miracle Max,72.98
2025-06-27,Count Rugen,34.19
2025-11-21,Buttercup,4.17
2024-10-08,Prince Humperdink,53.51
2025-03-07,Valerie,82.71
2025-05-22,Miracle Max,60.67
2024-12-26,Prince Humperdink,56.4
2025-06-17,Prince Humperdink,76.17
2024-02-06,Prince Humperdink,30.2
2024-09-12,Prince Humperdink,37.32
2024-11-13,Vizzini,70.46
2024-08-31,Buttercup,28.92
2025-01-09,Count Rugen,48.54
2025-07-31,Vizzini,81.37
2025-08-18,Fezzik,81.94
2024-05-09,Vizzini,65.95
2024-02-26,Prince Humperdink,96.04
2025-07-27,Valerie,41.66
2024-12-21,Fezzik,47.27
2025-07-08,Valerie,24.89
2024-08-29,Miracle Max,97.9
2025-06-17,Count Rugen,92.09
2025-04-18,Fezzik,3.46
2024-06-19,Valerie,10.78
2024-01-25,Valerie,36.61
2025-04-29,Miracle Max,18.57
2025-06-11,Buttercup,2.04
2025-08-28,Prince Humperdink,32.55
2025-05-29,Valerie,93.11
2024-10-18,Valerie,33.18
2025-12-15,Prince Humperdink,35.76
2025-02-24,Buttercup,39.56
2024-04-09,Count Rugen,62.23
2025-09-27,Buttercup,54.61
2025-05-05,Inigo Montoya,38.41
2025-06-22,Valerie,40.71
2024-03-16,Miracle Max,48.48
2024-01-12,Buttercup,29.55
2024-04-12,Miracle Max,60.1
2024-06-30,Miracle Max,89.1
2025-08-23,Miracle Max,68.86
2025-04-05,Vizzini,50.58
2025-12-30,Buttercup,89.4
2024-02-06,Vizzini,31.33
2024-09-13,Fezzik,28.73
2025-05-08,Miracle Max,17.17
2024-11-01,Inigo Montoya,34.52
2024-05-03,Prince Humperdink,1.07
2025-01-06,Vizzini,91.68
2024-06-09,Miracle Max,98.8
2025-01-07,Vizzini,99.11
2025-11-09,Vizzini,94.31
2024-02-16,Valerie,90.37
2025-10-18,Vizzini,60.98
2025-08-12,Vizzini,77.66
2025-06-12,Prince Humperdink,90.46
2025-04-27,Prince Humperdink,69.55
2024-05-13,Miracle Max,58.03
2025-12-08,Count Rugen,91.62
2025-10-18,Inigo Montoya,6.01
2024-06-30,Miracle Max,42.38
2025-07-25,Miracle Max,56.23
2025-09-08,Prince Humperdink,49.01
2025-12-27,Inigo Montoya,75.19
2025-03-27,Prince Humperdink,94.63
2024-12-29,Vizzini,48.03
2024-07-30,Vizzini,92.16
2025-08-10,Miracle Max,20.87
2025-07-22,Inigo Montoya,1.96
2024-04-16,Vizzini,90.16
2025-06-15,Buttercup,35.08
2024-05-20,Inigo Montoya,30.14
2024-03-17,Inigo Montoya,84.71
2024-08-29,Fezzik,96.63
2025-07-19,Valerie,51.6
2024-05-12,Prince Humperdink,38.15
2024-09-04,Buttercup,96.08
2025-04-12,Count Rugen,59.05
2025-08-08,Fezzik,75.92
2024-02-10,Fezzik,2.43
2024-06-19,Miracle Max,65.66
2024-08-28,Valerie,73.2
2024-01-27,Buttercup,13.89
2024-07-07,Prince Humperdink,89.29
2024-03-03,Count Rugen,40.07
2024-06-16,Prince Humperdink,59.46
2024-12-21,Buttercup,44.27
2024-09-29,Count Rugen,49.15
2025-04-29,Valerie,74.39
2025-01-25,Miracle Max,89.1
2025-03-19,Buttercup,26.6
2025-06-24,Miracle Max,35.93
2025-02-25,Vizzini,83.88
2024-11-07,Valerie,7.17
2025-10-06,Count Rugen,14.1
2024-03-27,Count Rugen,70.29
2025-08-24,Buttercup,21.89
2024-11-11,Valerie,38.56
2024-12-07,Count Rugen,99.49
2024-05-10,Valerie,33.88
2024-01-08,Fezzik,76.09
2025-08-25,Inigo Montoya,95.52
2025-02-15,Inigo Montoya,51.4
2024-09-27,Vizzini,80.56
2024-10-06,Prince Humperdink,69.32
2024-09-30,Buttercup,51.94
2024-06-05,Buttercup,68.35
2024-09-03,Inigo Montoya,33.0
2024-10-28,Vizzini,87.64
2025-09-03,Count Rugen,96.63
2025-03-11,Miracle Max,73.87
2025-02-25,Inigo Montoya,42.33
2024-03-15,Vizzini,12.84
2024-12-06,Fezzik,88.09
2025-02-11,Miracle Max,45.71
2024-06-25,Vizzini,65.75
2024-01-01,Vizzini,94.48
2025-03-01,Inigo Montoya,39.07
2025-07-30,Prince Humperdink,93.78
2024-07-14,Vizzini,93.31
2024-02-21,Count Rugen,54.96
2024-07-24,Valerie,34.0
2024-02-19,Buttercup,88.63
2025-09-06,Fezzik,22.22
2024-04-10,Miracle Max,92.59
2024-01-23,Count Rugen,10.99
2025-01-06,Miracle Max,29.71
2025-12-26,Vizzini,98.39
2025-09-25,Valerie,42.19
2024-12-24,Vizzini,21.06
2024-08-31,Buttercup,37.89
2024-09-03,Buttercup,7.33
2025-09-22,Prince Humperdink,77.25
2025-08-13,Valerie,70.63
2024-03-24,Prince Humperdink,18.78
2025-10-16,Count Rugen,68.36
2024-08-07,Fezzik,90.06
2025-06-12,Vizzini,67.2
2025-03-17,Buttercup,46.68
2024-08-07,Valerie,5.09
2025-07-16,Fezzik,36.05
2024-04-23,Count Rugen,28.73
2024-12-07,Inigo Montoya,36.98
2024-12-04,Miracle Max,27.56
2025-10-16,Prince Humperdink,29.53
2025-05-17,Count Rugen,15.34
2024-07-08,Buttercup,30.57
2025-11-12,Miracle Max,32.46
2025-12-10,Inigo Montoya,90.8
2024-04-20,Inigo Montoya,99.7
2025-07-19,Miracle Max,75.05
2025-12-22,Buttercup,99.01
2024-09-27,Valerie,87.62
2024-03-03,Prince Humperdink,53.25
2024-05-30,Fezzik,47.73
2024-07-22,Buttercup,86.13
2024-12-30,Miracle Max,76.62
2024-11-14,Fezzik,23.3
2025-11-27,Vizzini,10.77
2024-08-15,Buttercup,53.52
2025-12-29,Inigo Montoya,51.13
2024-03-12,Count Rugen,12.18
2024-11-22,Prince Humperdink,91.03
2024-01-01,Fezzik,9.45
2025-09-02,Inigo Montoya,15.53
2025-10-18,Prince Humperdink,37.92
2025-03-18,Valerie,30.58
2025-02-07,Vizzini,92.67
2025-12-27,Buttercup,36.51
2025-03-07,Valerie,31.1
2024-03-24,Fezzik,14.92
2025-05-04,Fezzik,54.1
2025-12-12,Prince Humperdink,51.66
2024-08-11,Valerie,55.5
2025-03-10,Count Rugen,45.2
2025-10-25,Fezzik,32.91
2025-06-01,Valerie,39.11
2025-08-26,Inigo Montoya,9.24
2025-09-28,Valerie,12.11
2024-03-19,Buttercup,86.06
2024-05-05,Count Rugen,76.02
2024-07-14,Inigo Montoya,37.58
2025-12-09,Vizzini,80.45
2025-03-07,Vizzini,85.17
2024-09-14,Vizzini,85.42
2025-09-13,Fezzik,43.7
2025-12-20,Inigo Montoya,53.87
2025-03-27,Prince Humperdink,38.79
2025-06-29,Vizzini,20.83
2025-09-01,Inigo Montoya,80.84
2024-09-02,Fezzik,99.11
2024-06-20,Fezzik,66.7
2024-12-04,Prince Humperdink,94.43
2025-04-20,Prince Humperdink,84.43
2024-01-04,Inigo Montoya,2.22
2024-08-18,Prince Humperdink,61.75
2024-05-08,Inigo Montoya,4.82
2024-02-08,Miracle Max,77.14
2025-06-03,Count Rugen,11.36
2024-06-30,Prince Humperdink,15.17
2024-01-18,Buttercup,36.99
2024-04-20,Valerie,41.93
2024-01-16,Miracle Max,9.29
2024-05-05,Count Rugen,66.11
2024-10-03,Valerie,25.7
2024-09-15,Fezzik,47.53
2025-08-08,Vizzini,18.29
2024-05-22,Valerie,44.12
2025-07-16,Count Rugen,80.25
2025-12-01,Count Rugen,96.37
2025-06-23,Prince Humperdink,26.86
2024-02-23,Miracle Max,24.74
2024-09-24,Vizzini,75.15
2025-03-15,Vizzini,56.46
2025-11-09,Fezzik,92.06
2025-11-30,Miracle Max,77.16
2025-07-21,Count Rugen,90.71
2024-09-24,Prince Humperdink,95.06
2024-11-02,Valerie,55.18
2025-06-04,Valerie,7.74
2025-09-02,Buttercup,12.35
2024-09-02,Count Rugen,35.37
2024-06-07,Miracle Max,45.91
2025-08-20,Inigo Montoya,87.5
2024-09-06,Fezzik,37.67
2024-02-21,Buttercup,82.67
2024-02-27,Inigo Montoya,75.7
2025-10-09,Fezzik,78.54
2024-12-28,Buttercup,97.31
2024-01-03,Buttercup,23.39
2024-04-29,Buttercup,33.03
2025-10-19,Buttercup,8.26
2025-02-04,Valerie,71.86
2025-01-05,Vizzini,73.51
2024-12-04,Buttercup,26.96
2024-02-27,Prince Humperdink,43.47
2025-02-12,Count Rugen,15.26
2024-07-07,Count Rugen,56.64
2024-02-24,Fezzik,96.93
2024-08-14,Valerie,59.31
2024-06-24,Buttercup,8.81
2025-02-24,Count Rugen,64.1
2024-11-17,Valerie,74.48
2025-05-24,Valerie,91.96
2025-10-14,Miracle Max,32.65
2024-05-09,Vizzini,20.09
2024-08-26,Prince Humperdink,34.8
2025-05-26,Miracle Max,61.31
2025-08-31,Count Rugen,53.95
2024-04-23,Valerie,52.91
2025-06-27,Valerie,57.79
2025-02-12,Prince Humperdink,67.08
2025-05-23,Fezzik,99.96
2024-02-25,Miracle Max,69.92
2025-03-12,Valerie,31.52
2025-10-27,Vizzini,11.44
2025-09-21,Count Rugen,98.71
2024-01-18,Vizzini,56.89
2024-06-14,Miracle Max,19.41
2024-04-06,Fezzik,85.22
2025-02-03,Miracle Max,64.91
2024-12-04,Vizzini,75.46
2025-01-10,Valerie,35.19
2025-02-20,Valerie,18.98
2024-01-20,Buttercup,41.26
2025-03-25,Valerie,24.87
2024-11-17,Count Rugen,53.69
2024-10-21,Fezzik,92.05
2024-03-27,Buttercup,63.96
2024-07-12,Miracle Max,38.7
2024-05-28,Miracle Max,23.69
2025-05-01,Prince Humperdink,23.78
2024-09-09,Valerie,85.8
2025-05-08,Miracle Max,5.77
2024-05-19,Prince Humperdink,67.49
2024-01-28,Inigo Montoya,50.44
2024-02-17,Count Rugen,86.77
2024-10-23,Count Rugen,85.21
2025-10-31,Vizzini,23.33
2024-01-19,Buttercup,61.67
2024-01-02,Vizzini,38.34
2024-07-08,Prince Humperdink,71.7
2025-05-23,Fezzik,29.74
2024-11-04,Inigo Montoya,62.3
2024-03-15,Prince Humperdink,38.61
2025-10-28,Buttercup,31.41
2025-05-18,Prince Humperdink,51.83
2025-05-27,Prince Humperdink,98.64
2024-03-20,Count Rugen,26.05
2025-09-03,Valerie,50.89
2024-03-25,Fezzik,90.39
2024-10-10,Fezzik,64.94
2025-11-27,Count Rugen,15.24
2025-08-20,Prince Humperdink,88.9
2024-12-29,Count Rugen,28.92
2025-03-25,Valerie,41.78
2024-09-24,Prince Humperdink,27.47
2024-07-02,Vizzini,17.99
2025-07-11,Valerie,66.71
2025-07-01,Count Rugen,53.91
2024-03-21,Inigo Montoya,58.19
2025-05-15,Buttercup,32.69
2024-01-08,Miracle Max,30.87
2025-09-26,Fezzik,83.07
2024-01-05,Fezzik,1.78
2025-10-20,Count Rugen,17.12
2025-05-22,Prince Humperdink,43.06
2024-02-16,Inigo Montoya,35.86
2024-01-17,Fezzik,96.51
2025-09-20,Fezzik,57.42
2025-10-12,Valerie,77.39
2024-12-03,Prince Humperdink,7.19
2025-08-15,Prince Humperdink,50.58
2024-03-06,Valerie,10.35
2025-10-24,Fezzik,5.13
2024-09-09,Valerie,44.59
2024-11-23,Inigo Montoya,93.15
2025-07-24,Buttercup,13.05
2025-10-12,Valerie,60.83
2024-09-08,Vizzini,37.5
2024-12-31,Miracle Max,64.19
2024-03-14,Buttercup,12.03
2024-06-24,Count Rugen,56.81
2024-07-26,Buttercup,98.52
2025-05-30,Buttercup,86.19
2025-10-08,Vizzini,86.39
2024-03-24,Vizzini,98.57
2025-04-25,Inigo Montoya,99.63
2024-06-12,Miracle Max,29.21
2024-10-27,Miracle Max,57.58
2024-12-12,Prince Humperdink,50.88
2024-11-26,Prince Humperdink,72.55
2024-08-12,Count Rugen,48.3
2024-07-28,Fezzik,59.29
2024-04-02,Count Rugen,44.73
2024-05-20,Valerie,18.36
2025-11-18,Prince Humperdink,90.35
2024-09-07,Fezzik,67.75
2024-12-31,Prince Humperdink,97.27
2024-09-12,Fezzik,69.2
2025-10-04,Buttercup,27.35
2025-12-03,Count Rugen,67.34
2025-06-13,Buttercup,26.92
2024-08-25,Inigo Montoya,45.58
2024-04-29,Buttercup,87.4
2024-02-02,Vizzini,1.06
2024-01-15,Inigo Montoya,74.51
2024-11-12,Inigo Montoya,39.51
2024-11-15,Miracle Max,14.6
2024-05-30,Valerie,82.92
2024-12-10,Miracle Max,32.73
2025-01-17,Inigo Montoya,25.76
2025-02-01,Valerie,74.19
2024-07-28,Prince Humperdink,78.82
2025-01-18,Buttercup,34.01
2024-02-01,Buttercup,16.04
2025-01-27,Buttercup,1.23
2024-02-01,Fezzik,27.49
2025-12-25,Inigo Montoya,70.64
2025-06-14,Valerie,74.88
2024-05-27,Miracle Max,1.45
2025-01-09,Count Rugen,34.0
2025-10-07,Inigo Montoya,45.19
2024-08-13,Vizzini,36.92
2025-08-09,Prince Humperdink,9.05
2025-01-20,Inigo Montoya,75.6
2025-05-14,Inigo Montoya,90.63
2024-06-22,Fezzik,8.62
2024-07-21,Inigo Montoya,43.39
2024-07-08,Count Rugen,51.21
2025-02-13,Inigo Montoya,64.97
2024-04-04,Prince Humperdink,44.29
2025-09-02,Valerie,72.45
2024-11-08,Vizzini,11.63
2024-06-05,Miracle Max,68.65
2024-08-10,Inigo Montoya,86.23
2024-05-02,Count Rugen,81.21
2024-01-02,Prince Humperdink,44.18
2024-08-12,Prince Humperdink,57.01
2024-06-30,Valerie,37.01
2024-04-08,Buttercup,24.96
2025-03-03,Fezzik,86.36
2025-01-28,Miracle Max,8.55
2024-05-30,Count Rugen,49.54
2024-10-29,Buttercup,56.11
2025-09-25,Inigo Montoya,30.96
2024-12-21,Count Rugen,39.25
2025-11-09,Valerie,9.66
2024-04-18,Miracle Max,36.08
2025-03-25,Miracle Max,51.66
2024-06-11,Miracle Max,31.86
2025-06-08,Prince Humperdink,26.33
2025-10-19,Miracle Max,8.96
2024-12-15,Vizzini,80.04
2024-02-16,Buttercup,58.89
2025-04-11,Inigo Montoya,4.64
2025-08-07,Miracle Max,14.5
2024-12-16,Prince Humperdink,78.74
2024-08-19,Vizzini,40.28
2025-03-31,Inigo Montoya,6.99
2024-03-29,Inigo Montoya,66.78
2024-03-28,Prince Humperdink,57.6
2024-08-24,Vizzini,55.87
2025-09-21,Buttercup,81.58
2024-04-15,Fezzik,51.18
2024-04-28,Buttercup,75.57
2024-11-17,Valerie,78.81
2024-07-31,Prince Humperdink,93.39
2025-07-18,Valerie,61.24
2025-05-23,Miracle Max,61.77
2025-02-07,Miracle Max,30.11
2025-11-24,Fezzik,4.73
2024-10-05,Valerie,29.14
2025-01-20,Miracle Max,95.4
2024-11-26,Vizzini,92.52
2025-02-28,Miracle Max,45.39
2025-05-12,Count Rugen,18.37
2025-11-29,Buttercup,27.12
2025-04-12,Prince Humperdink,25.42
2024-08-06,Buttercup,70.57
2024-09-29,Valerie,67.79
2025-02-22,Valerie,76.94
2025-10-22,Valerie,80.1
2025-02-03,Count Rugen,21.63
2025-06-28,Miracle Max,70.76
2024-03-05,Fezzik,61.24
2024-12-11,Valerie,31.27
2024-01-11,Count Rugen,17.01
2024-07-22,Vizzini,5.5
2024-01-22,Inigo Montoya,76.39
2024-12-16,Miracle Max,40.51
2024-02-20,Prince Humperdink,89.58
2024-09-26,Miracle Max,48.3
2025-01-12,Valerie,85.33
2025-12-06,Vizzini,20.74
2025-10-18,Valerie,52.78
2024-11-26,Count Rugen,84.32
2024-05-17,Miracle Max,69.05
2024-01-07,Count Rugen,83.18
2024-06-14,Valerie,65.01
2025-03-10,Count Rugen,1.55
2025-04-02,Inigo Montoya,60.88
2025-06-07,Prince Humperdink,96.57
2024-12-27,Fezzik,38.15
2025-01-31,Buttercup,24.45
2024-08-18,Fezzik,65.42
2025-08-20,Fezzik,20.58
2024-08-17,Miracle Max,19.59
2025-09-15,Valerie,50.83
2024-08-15,Fezzik,70.27
2024-07-20,Valerie,45.63
2024-03-13,Inigo Montoya,24.04
2024-06-19,Inigo Montoya,46.24
2025-12-05,Count Rugen,77.62
2024-09-13,Prince Humperdink,31.83
2024-09-25,Fezzik,31.91
2025-08-14,Valerie,84.21
2025-08-12,Inigo Montoya,27.48
2024-06-06,Inigo Montoya,14.85
2025-12-16,Fezzik,91.01
2024-09-26,Fezzik,39.75
2025-02-07,Buttercup,1.87
2024-04-19,Valerie,75.59
2025-02-04,Fezzik,73.82
2025-04-17,Count Rugen,56.15
2024-11-22,Prince Humperdink,86.8
2025-05-24,Miracle Max,63.71
2025-06-18,Count Rugen,36.13
2025-09-05,Vizzini,4.06
2024-10-04,Vizzini,35.57
2024-02-09,Count Rugen,58.19
2024-11-07,Valerie,64.18
2024-03-31,Valerie,54.28
2025-02-28,Inigo Montoya,55.53
2025-03-16,Buttercup,16.32
2025-01-19,Miracle Max,24.96
2025-02-12,Prince Humperdink,76.23
2025-12-20,Buttercup,38.37
2024-08-05,Prince Humperdink,42.27
2025-03-11,Inigo Montoya,9.35
2024-04-21,Buttercup,15.18
2025-04-24,Vizzini,47.62
2024-04-18,Fezzik,95.12
2025-06-29,Inigo Montoya,91.57
2025-01-01,Count Rugen,70.77
2025-09-18,Count Rugen,1.29
2025-01-31,Miracle Max,24.7
2024-10-10,Fezzik,81.92
2024-01-15,Valerie,22.25
2025-08-28,Count Rugen,45.61
2025-10-10,Vizzini,90.08
2025-01-11,Fezzik,21.45
2024-02-25,Buttercup,48.66
2025-08-25,Fezzik,65.62
2025-09-19,Miracle Max,95.79
2024-06-17,Vizzini,47.63
2024-02-28,Count Rugen,89.66
2024-09-13,Valerie,29.98
2024-11-24,Prince Humperdink,15.06
2025-11-10,Buttercup,62.98
2024-07-06,Fezzik,84.89
2025-05-06,Vizzini,46.54
2024-09-22,Miracle Max,83.31
2025-11-08,Buttercup,41.46
2024-08-29,Fezzik,79.4
2024-11-01,Valerie,26.1
2025-01-29,Valerie,72.52
2024-08-21,Fezzik,35.04
2024-07-20,Inigo Montoya,75.28
2025-06-21,Valerie,72.08
2024-08-20,Fezzik,66.65
2025-12-02,Vizzini,87.27
2024-03-24,Count Rugen,37.89
2025-04-24,Vizzini,53.77
2025-10-30,Miracle Max,48.23
2025-12-15,Fezzik,8.38
2025-02-24,Inigo Montoya,16.12
2025-02-08,Inigo Montoya,88.82
2025-12-03,Count Rugen,26.57
2025-03-15,Vizzini,33.93
2024-02-01,Count Rugen,85.66
2024-09-07,Prince Humperdink,52.02
2024-12-25,Miracle Max,47.56
2024-04-15,Inigo Montoya,18.26
2024-01-13,Miracle Max,38.88
2025-01-02,Prince Humperdink,5.47
2025-03-17,Buttercup,69.85
2025-05-25,Prince Humperdink,42.67
2025-10-16,Buttercup,12.12
2024-08-21,Miracle Max,65.08
2024-11-22,Fezzik,53.61
2024-10-09,Buttercup,5.83
2024-09-17,Count Rugen,13.23
2025-06-08,Valerie,92.97
2024-03-10,Count Rugen,10.07
2025-10-09,Miracle Max,47.03
2024-10-21,Inigo Montoya,99.68
