date,first_name,life_force
2025-09-03,Inigo Montoya,48.04
2025-04-14,Vizzini,43.76
2025-02-03,Inigo Montoya,52.33
2024-06-20,Inigo Montoya,60.14
2025-09-16,Fezzik,88.91
2025-05-15,Prince Humperdink,95.93
2025-10-23,Valerie,10.31
2025-07-16,Prince Humperdink,95.32
2025-05-10,Miracle Max,1.89
2024-08-23,Fezzik,56.16
2024-04-10,Vizzini,40.05
2024-09-23,Buttercup,84.88
2025-05-24,Vizzini,89.61
2025-12-17,Vizzini,99.72
2024-12-30,Fezzik,42.02
2025-01-21,Vizzini,63.21
2024-12-28,Buttercup,79.29
2024-05-26,Buttercup,50.36
2025-04-02,Buttercup,7.49
2024-12-26,Prince Humperdink,51.3
2024-10-24,Prince Humperdink,10.87
2025-03-15,Valerie,67.66
2024-04-02,Count Rugen,33.8
2024-01-15,Inigo Montoya,70.44
2024-04-23,Buttercup,3.28
2024-02-29,Valerie,90.77
2024-03-30,Inigo Montoya,50.18
2024-07-29,Miracle Max,62.32
2025-06-28,Miracle Max,41.07
2024-09-04,Count Rugen,85.71
2025-10-10,Buttercup,30.05
2024-03-17,Vizzini,7.95
2025-01-21,Vizzini,42.46
2025-11-26,Vizzini,96.16
2025-12-03,Fezzik,65.87
2025-08-18,Valerie,44.06
2024-02-18,Fezzik,67.27
2024-08-18,Buttercup,67.74
2025-09-11,Count Rugen,74.93
2024-08-14,Fezzik,52.75
2024-02-09,Count Rugen,6.02
2025-02-03,Buttercup,80.06
2024-05-29,Vizzini,80.33
2024-09-23,Count Rugen,4.33
2025-08-10,Fezzik,15.89
2024-03-30,Fezzik,58.4
2024-08-11,Buttercup,29.46
2025-05-07,Fezzik,49.09
2024-03-14,Prince Humperdink,61.54
2024-10-15,Inigo Montoya,19.17
2025-10-12,Fezzik,37.7
2024-07-28,Count Rugen,59.98
2024-03-02,Vizzini,78.6
2025-04-12,Fezzik,99.68
2025-02-15,Prince Humperdink,2.61
