date,first_name,life_force
2025-05-17,Miracle Max,24.23
2024-12-11,Miracle Max,30.33
2025-01-13,Count Rugen,39.37
2024-06-30,Count Rugen,44.35
2024-01-19,Fezzik,57.37
2025-11-06,Vizzini,77.43
2024-06-11,Vizzini,9.45
2025-06-12,Prince Humperdink,46.13
2024-10-11,Fezzik,27.57
2025-07-23,Buttercup,35.98
2024-04-10,Buttercup,10.87
2024-01-11,Count Rugen,38.67
2025-10-29,Inigo Montoya,90.5
2025-01-05,Inigo Montoya,28.85
2024-05-26,Miracle Max,34.43
2024-05-31,Fezzik,16.71
2025-10-24,Fezzik,95.34
2024-12-29,Valerie,96.86
2024-08-01,Miracle Max,77.46
2024-07-02,Miracle Max,34.84
2025-09-15,Vizzini,34.74
2024-05-02,Prince Humperdink,4.48
2024-02-17,Valerie,9.74
2025-07-13,Vizzini,23.68
2025-06-14,Buttercup,92.09
2024-03-30,Prince Humperdink,82.11
2025-02-09,Buttercup,63.99
2024-10-06,Fezzik,46.85
2024-03-13,Count Rugen,55.35
2025-03-05,Inigo Montoya,89.6
2024-06-25,Buttercup,38.18
2025-04-11,Vizzini,65.23
2024-11-24,Buttercup,22.64
2025-10-07,Vizzini,59.34
2025-02-12,Buttercup,2.62
2024-07-27,Count Rugen,68.68
2025-10-07,Valerie,79.99
2024-03-14,Count Rugen,43.72
2024-09-04,Vizzini,20.35
2025-05-18,Vizzini,40.94
2025-06-29,Valerie,41.76
2024-06-12,Buttercup,14.52
2025-06-24,Miracle Max,63.58
2025-03-28,Vizzini,86.65
2025-03-08,Valerie,36.61
2025-10-11,Prince Humperdink,41.44
2025-09-20,Prince Humperdink,73.38
2025-11-13,Buttercup,80.09
2024-03-02,Miracle Max,28.28
2025-01-16,Valerie,56.35
2024-05-23,Prince Humperdink,19.67
2024-05-29,Fezzik,13.55
2025-04-25,Buttercup,40.52
2024-03-13,Prince Humperdink,99.98
2024-11-21,Miracle Max,36.59
2025-09-18,Inigo Montoya,4.4
2025-06-20,Valerie,60.4
2025-03-16,Miracle Max,2.63
2024-08-11,Count Rugen,8.02
2024-06-20,Inigo Montoya,24.88
2025-03-29,Buttercup,48.0
2024-09-17,Count Rugen,29.45
2024-06-07,Buttercup,43.54
2025-05-22,Vizzini,64.51
2024-05-27,Miracle Max,59.53
2025-11-24,Vizzini,16.16
2024-02-12,Valerie,31.34
2024-03-16,Prince Humperdink,98.62
2024-08-03,Count Rugen,60.1
2025-04-11,Fezzik,41.2
2025-01-12,Inigo Montoya,46.96
2025-03-27,Count Rugen,46.85
